name_en,name_ru,name_uz,code,price
Apple,Яблоко,Olma,101,22.990
Banana,Банан,Banan,102,23.990
Orange,Апельсин,Apelsin,103,26.990
Pineapple,Ананас,Ananas,104,22.990
Blueberry,Голубика, ,105,72.990
Pear,Груша,Nok,106,18.990
Grapes,Виноград,Uzum,107,79.900
Pomegranate,Гранат,Anor,108,39.900
Kiwi,Киви,Kivi,109,89.900
Strawberry,Клубника,Qulupnay,110,47.900
Persimmon,Хурма,Xurmo,111,49.900
Lemon,Лимон,Limon,112,34.900
Pear,Груша,Nok,113,44.900
Peach,Персик,Shaftoli,114,59.900
Watermelon,Арбуз,Tarvuz,115,14.900
Melon,Дыня,Qovun,116,19.900
Cherry,Вишня,Gilos,117,69.900
Mango,Манго,Mango,118,89.900
